High Risk	Low Risk
80013	80721
80014	80727
80021	80731
80022	80734
80027	80740
80030	80742
80212	80743
80227	80745
80235	80746
80428	80747
80435	80754
80465	80755
80480	80757
80501	80758
80513	80759
80524	80801
80525	80804
80528	80805
80537	80807
80544	80812
80550	80815
80601	80818
80603	80822
80909	80824
81030	80834
81076	80836
81328	80861
	81020
	81029
	81064
	81237
	81241
	81248
	81330
	81424
	81431
	81523
	81525
	81610
	81633
	81640
	80634
	80918
	80011
	80126
	80920
	80831
	80919
	80220
	80207
	80917
	80908
	80130
	80104
	80516
	81625
